Date,Week_ID,Month Number,Month_ID,Year,Day_Name,Revenue
2021-03-18,53,3,15,2021,Thursday,14909
2021-03-19,53,3,15,2021,Friday,5903
2021-03-20,53,3,15,2021,Saturday,4169
2021-03-21,54,3,15,2021,Sunday,9486
2021-03-22,54,3,15,2021,Monday,9209
2021-03-23,54,3,15,2021,Tuesday,11494
2021-03-24,54,3,15,2021,Wednesday,15190
2021-03-25,54,3,15,2021,Thursday,11524
2021-03-26,54,3,15,2021,Friday,22587
2021-03-27,54,3,15,2021,Saturday,3181
2021-03-28,55,3,15,2021,Sunday,14587
2021-03-29,55,3,15,2021,Monday,9262
2021-03-30,55,3,15,2021,Tuesday,5478
2021-03-31,55,3,15,2021,Wednesday,14957
2021-04-01,55,4,16,2021,Thursday,23368
2021-04-02,55,4,16,2021,Friday,1201
2021-04-03,55,4,16,2021,Saturday,12027
2021-04-04,56,4,16,2021,Sunday,6388
2021-04-05,56,4,16,2021,Monday,8396
2021-04-06,56,4,16,2021,Tuesday,8828
2021-04-07,56,4,16,2021,Wednesday,16777
2021-04-08,56,4,16,2021,Thursday,12548
2021-04-09,56,4,16,2021,Friday,23870
2021-04-10,56,4,16,2021,Saturday,7596
2021-04-11,57,4,16,2021,Sunday,11221
2021-04-12,57,4,16,2021,Monday,10027
2021-04-13,57,4,16,2021,Tuesday,11484
2021-04-14,57,4,16,2021,Wednesday,16347
2021-04-15,57,4,16,2021,Thursday,2546
2021-04-16,57,4,16,2021,Friday,8456
2021-04-17,57,4,16,2021,Saturday,5274
2021-04-18,58,4,16,2021,Sunday,
2021-04-19,58,4,16,2021,Monday,9645
2021-04-20,58,4,16,2021,Tuesday,4020
2021-04-21,58,4,16,2021,Wednesday,2491
2021-04-22,58,4,16,2021,Thursday,24506
2021-04-23,58,4,16,2021,Friday,3251
2021-04-24,58,4,16,2021,Saturday,9360
2021-04-25,59,4,16,2021,Sunday,11650
2021-04-26,59,4,16,2021,Monday,3884
2021-04-27,59,4,16,2021,Tuesday,8046
2021-04-28,59,4,16,2021,Wednesday,9540
2021-04-29,59,4,16,2021,Thursday,22655
2021-04-30,59,4,16,2021,Friday,16542
2021-05-01,59,5,17,2021,Saturday,7445
2021-05-02,60,5,17,2021,Sunday,12111
2021-05-03,60,5,17,2021,Monday,11273
2021-05-04,60,5,17,2021,Tuesday,3215
2021-05-05,60,5,17,2021,Wednesday,7284
2021-05-06,60,5,17,2021,Thursday,13021
2021-05-07,60,5,17,2021,Friday,4587
2021-05-08,60,5,17,2021,Saturday,5927
2021-05-09,61,5,17,2021,Sunday,3861
2021-05-10,NULL,NULL,NULL,NULL,NULL,NULL
2021-05-11,NULL,NULL,NULL,NULL,NULL,NULL
2021-05-12,NULL,NULL,NULL,NULL,NULL,NULL
